




Feature_Name,Target,Diameter,Center_Latitude,Center_Longitude,Coordinate_System,Approval_Status,Approval_Date,Origin,
"Abelard","Eros",1.1,-3.5,12.2,"Planetographic  +West  0 - 360","Approved","2003-01-01 00:00:00.0","Peter; French philosopher, lover of Heloise (1079-1142).",
"Aida","Eros",1.6,7.9,130.5,"Planetographic  +West  0 - 360","Approved","2003-01-01 00:00:00.0","Ethiopian slave, beloved of Egyptian officer Radames in Verdi's opera ""Aida"" (Italy, 1870).",
"Avtandil","Eros",1.2,-22.5,233.1,"Planetographic  +West  0 - 360","Approved","2003-01-01 00:00:00.0","Lover of Tinatin in Shota Rustavely's novel ""Knight in tiger-skin"" (Georgia, 12th century).",
"Bovary","Eros",0.8,-61,27.3,"Planetographic  +West  0 - 360","Approved","2003-01-01 00:00:00.0","Romantic heroine of Flaubert's novel ""Madame Bovary"" (France, 19th century).",
"Casanova","Eros",0.9,46.6,236,"Planetographic  +West  0 - 360","Approved","2003-01-01 00:00:00.0","Giovanni; Italian adventurer, lover and author (1725-1798).",
"Catherine","Eros",1.1,9.1,171.1,"Planetographic  +West  0 - 360","Approved","2003-01-01 00:00:00.0","Tragic lover of Heathcliff in Emily Brontë's novel ""Wuthering Heights"" (England, 1847).",
"Charlois Regio","Eros",0,-16,330,"Planetographic  +West  0 - 360","Approved","2003-01-01 00:00:00.0","Auguste Honore Pierre; French astronomer, independent discoverer of Eros (1864-1910).",
"Cupid","Eros",1.8,8.1,230.2,"Planetographic  +West  0 - 360","Approved","2003-01-01 00:00:00.0","Roman god of love, equivalent of Eros.",
"Don Juan","Eros",1.1,29.5,356.7,"Planetographic  +West  0 - 360","Approved","2003-01-01 00:00:00.0","Lover, character of medieval European legend retold in Moliere's ""Don Juan"" (France, 1665).",
"Don Quixote","Eros",0.9,-57.7,250.8,"Planetographic  +West  0 - 360","Approved","2003-01-01 00:00:00.0","Knight-errant, imagined Dulcinea as his lady-love in Cervantes' ""Don Quixote"" (Spain, 1605).",
"Dulcinea","Eros",1.4,-76.1,272.9,"Planetographic  +West  0 - 360","Approved","2003-01-01 00:00:00.0","Imaginary lady-love of the knight Don Quixote in Cervantes' ""Don Quixote"" (Spain, 1605).",
"Eurydice","Eros",2.2,13.5,170,"Planetographic  +West  0 - 360","Approved","2003-01-01 00:00:00.0","In Greek mythology, wife of singer Orpheus, who fails to bring her from Hades.",
"Finsen Dorsum","Eros",0,-48,350,"Planetographic  +West  0 - 360","Approved","2003-01-01 00:00:00.0","William S.; South African astronomer, detected Eros' elongated shape (1905-1979).",
"Fujitsubo","Eros",1.7,-3.7,62.7,"Planetographic  +West  0 - 360","Approved","2003-01-01 00:00:00.0","Lover of Genji in ""The Tale of Genji"" by Murasaki Sikibu, first modern novel (Japan, c.1000).",
"Galatea","Eros",1.4,-10.2,183.1,"Planetographic  +West  0 - 360","Approved","2003-01-01 00:00:00.0","Woman in Greek mythology, brought to life from statue by Pygmalion, legendary king of Cyprus.",
"Gamba","Eros",1.3,-20.6,54.1,"Planetographic  +West  0 - 360","Approved","2003-01-01 00:00:00.0","Marina; companion of astronomer Galileo Galilei (Italy, 17th century).",
"Genji","Eros",1.5,-19.5,88.6,"Planetographic  +West  0 - 360","Approved","2003-01-01 00:00:00.0","Prince, lover of Fujitsubo in ""The Tale of Genji"" by Murasaki Sikibu (Japan, c.1000).",
"Heathcliff","Eros",1.1,7.4,167.9,"Planetographic  +West  0 - 360","Approved","2003-01-01 00:00:00.0","Tragic lover of Catherine in Emily Brontë's novel ""Wuthering Heights"" (England, 1847).",
"Himeros","Eros",10,21.2,282.3,"Planetographic  +West  0 - 360","Approved","2003-01-01 00:00:00.0","Attendant of Eros; personification of the longing of love in Greek mythology.",
"Hinks Dorsum","Eros",0,42,318,"Planetographic  +West  0 - 360","Approved","2003-01-01 00:00:00.0","Arthur Robert; English astronomer, first used Eros for solar parallax (1873-1945).",
"Hios","Eros",1.3,-9.4,130.9,"Planetographic  +West  0 - 360","Approved","2003-01-01 00:00:00.0","Love child of Poseidon and Hiona in Greek mythology; also island (Chios) in the Aegean Sea.",
"Jahan","Eros",2.1,74.2,293.5,"Planetographic  +West  0 - 360","Approved","2003-01-01 00:00:00.0","Shah; Mogul emperor, built Taj Mahal in Agra, India for wife Mumtaz Mahal (1592-1666).",
"Kastytis","Eros",1.7,6.8,161.3,"Planetographic  +West  0 - 360","Approved","2003-01-01 00:00:00.0","Lithuanian blacksmith, lover of sea goddess Jurate; taken by her to the sea floor.",
"Leander","Eros",1.4,25.6,210.3,"Planetographic  +West  0 - 360","Approved","2003-01-01 00:00:00.0","Lover of Hero, swam to her across Hellespont every night and drowned; in despair, Hero drowned herself.",
"Leylie","Eros",1.9,-3,23.5,"Planetographic  +West  0 - 360","Approved","2003-01-01 00:00:00.0","Majnoon's lover in ""Leylie and Majnoon"" poems by Jami and Navoi (Khorasan, 1480s).",
"Lolita","Eros",1.8,-35.2,197.7,"Planetographic  +West  0 - 360","Approved","2003-01-01 00:00:00.0","Young girl from V. Nabokov's novel ""Lolita"" (USA, 1955).",
"Mahal","Eros",1.2,79.4,170,"Planetographic  +West  0 - 360","Approved","2003-01-01 00:00:00.0","Mumtaz; Mogul empress; favorite wife of Shah Jahan, who built Taj Mahal (1592-1631).",
"Majnoon","Eros",2.1,3.8,28.8,"Planetographic  +West  0 - 360","Approved","2003-01-01 00:00:00.0","Leylie's lover in ""Leylie and Majnoon"" poems by Jami and Navoi (Khorasan, 1480s).",
"Mélisande","Eros",1,67.1,185.6,"Planetographic  +West  0 - 360","Approved","2003-01-01 00:00:00.0","Wife of Prince Golaud and lover of his half-brother, Pelléas, in Maeterlinck drama (Belgium, 1892).",
"Narcissus","Eros",2.9,18.2,7.1,"Planetographic  +West  0 - 360","Approved","2003-01-01 00:00:00.0","Young man from Greek mythology who fell in love with his own reflection in water.",
"Orpheus","Eros",1.1,25.6,176.7,"Planetographic  +West  0 - 360","Approved","2003-01-01 00:00:00.0","Singer and musician in Greek mythology; fails to bring his love Eurydice from Hades.",
"Pao-yü","Eros",0.8,-73.2,105.6,"Planetographic  +West  0 - 360","Approved","2003-01-01 00:00:00.0","Lover of Tai-yü in novel by Ts'ao Chan (China, 18th century; also ""Dream of the Red Chamber"", 1929).",
"Pelléas","Eros",1.2,63.1,221.3,"Planetographic  +West  0 - 360","Approved","2003-01-01 00:00:00.0","Beloved of Mélisande in Maeterlinck drama and later musical works by Faure, Debussy and Schoenberg.",
"Psyche","Eros",4.8,31.6,94.6,"Planetographic  +West  0 - 360","Approved","2003-01-01 00:00:00.0","Beloved of Eros; personification of human soul in Greek mythology.",
"Pygmalion","Eros",1.7,-1.8,191.1,"Planetographic  +West  0 - 360","Approved","2003-01-01 00:00:00.0","King of Cyprus; carved statue of woman brought to life as Galatea, whom he married.",
"Radames","Eros",1.6,-5.2,115.1,"Planetographic  +West  0 - 360","Approved","2003-01-01 00:00:00.0","Egyptian officer, beloved of Ethiopian slave Aida in Verdi's opera ""Aida"" (Italy, 1870).",
"Selene","Eros",3.6,-14.2,12.5,"Planetographic  +West  0 - 360","Approved","2003-01-01 00:00:00.0","Moon goddess in Greek mythology, lover of Endymion.",
