




Feature_Name,Target,Diameter,Center_Latitude,Center_Longitude,Coordinate_System,Approval_Status,Approval_Date,Origin,
"Abydos Facula","Ganymede",180,33.33,153.44,"Planetographic  +West  0 - 360","Approved","1985-01-01 00:00:00.0","Egyptian town where Osiris was worshipped.",
"Achelous","Ganymede",40,61.9,11.78,"Planetographic  +West  0 - 360","Approved","1979-01-01 00:00:00.0","Greek river god; father of Callirrhoe, Ganymede's mother.",
"Adad","Ganymede",39,57.43,358.02,"Planetographic  +West  0 - 360","Approved","1979-01-01 00:00:00.0","Assyro-Babylonian god of thunder.",
"Adapa","Ganymede",57,73.08,31.32,"Planetographic  +West  0 - 360","Approved","1979-01-01 00:00:00.0","Assyro-Babylonian; lost immortality when, at Ea's advice, he refused food of life.",
"Agreus","Ganymede",63,15.87,232.7,"Planetographic  +West  0 - 360","Approved","1985-01-01 00:00:00.0","Hunter god in Tyre.",
"Agrotes","Ganymede",74,60.93,192.62,"Planetographic  +West  0 - 360","Approved","1985-01-01 00:00:00.0","Tyre; greatest god of Gebal; farmer god.",
"Akhmin Facula","Ganymede",245,28.3,189.8,"Planetographic  +West  0 - 360","Approved","1997-01-01 00:00:00.0","Egyptian town where Min was worshipped.",
"Akitu Sulcus","Ganymede",365,39,194,"Planetographic  +West  0 - 360","Approved","1997-01-01 00:00:00.0","Where Marduk's statue was carried each year.",
"Aleyin","Ganymede",12.4,15.14,134.08,"Planetographic  +West  0 - 360","Approved","1997-01-01 00:00:00.0","Son of Ba'al, spirit of springs.",
"Ammura","Ganymede",61.5,31.76,342.35,"Planetographic  +West  0 - 360","Approved","1979-01-01 00:00:00.0","Phoenician; god of the west.",
"Amon","Ganymede",102,33.69,220.61,"Planetographic  +West  0 - 360","Approved","1985-01-01 00:00:00.0","Theban king of gods.",
"Amset","Ganymede",11,-14.41,178.75,"Planetographic  +West  0 - 360","Approved","1997-01-01 00:00:00.0","One of the four gods of the dead, son of Horus.",
"Anat","Ganymede",2.9,-4.1,128,"Planetographic  +West  0 - 360","Approved","1985-01-01 00:00:00.0","Assyro-Babylonian goddess of dew.",
"Andjeti","Ganymede",52,-52.75,161.1,"Planetographic  +West  0 - 360","Approved","1985-01-01 00:00:00.0","Egyptian; first god of Busirus.",
"Anhur","Ganymede",25,32.63,192.32,"Planetographic  +West  0 - 360","Approved","1997-01-01 00:00:00.0","Egyptian warrior god.",
"Anshar Sulcus","Ganymede",1372,18.9,198.7,"Planetographic  +West  0 - 360","Approved","1979-01-01 00:00:00.0","Assyro-Babylonian; celestial-world home of Lakhmu and Lakhamu.",
"Antum","Ganymede",14.75,5.09,218.94,"Planetographic  +West  0 - 360","Approved","1985-01-01 00:00:00.0","Babylonian; wife of Anu.",
"Anu","Ganymede",55,65.24,344.25,"Planetographic  +West  0 - 360","Approved","1979-01-01 00:00:00.0","Sumerian-Akkadian god of power, of heavens.",
"Anubis","Ganymede",114,-84.44,128.66,"Planetographic  +West  0 - 360","Approved","1988-01-01 00:00:00.0","Egyptian jackal-headed god who opened the underworld to the dead.",
"Anzu","Ganymede",210,63.51,62.73,"Planetographic  +West  0 - 360","Approved","2000-01-01 00:00:00.0","Gigantic lion-headed bird-like figure, the Sumerian Thunderbird.",
"Apophis","Ganymede",57,-8.12,276.16,"Planetographic  +West  0 - 360","Approved","2000-01-01 00:00:00.0","Egyptian gigantic serpent symbolizing chaos or nonexistence.",
"Apsu Sulci","Ganymede",1950,-37.5,225.2,"Planetographic  +West  0 - 360","Approved","1979-01-01 00:00:00.0","Sumero-Akkadian; primordial ocean.",
"Aquarius Sulcus","Ganymede",1420,52.4,4,"Planetographic  +West  0 - 360","Approved","1979-01-01 00:00:00.0","Greek; Zeus set Ganymede among the stars as the constellation of Aquarius, the water carrier.",
"Arbela Sulcus","Ganymede",3850,-34,4,"Planetographic  +West  0 - 360","Approved","1985-01-01 00:00:00.0","Assyrian town where Ishtar was worshipped.",
"Ashîma","Ganymede",84,-39.05,122.98,"Planetographic  +West  0 - 360","Approved","1985-01-01 00:00:00.0","Semitic-Arab god of fate.",
"Asshur","Ganymede",25.5,54.16,333.48,"Planetographic  +West  0 - 360","Approved","1979-01-01 00:00:00.0","Assyro-Babylonian warrior god.",
"Atra-hasis","Ganymede",133,22.54,254.11,"Planetographic  +West  0 - 360","Approved","2000-01-01 00:00:00.0","Exceedingly wise' hero of Akkadian myth, survived the great flood.",
"Aya","Ganymede",38,68.34,322.02,"Planetographic  +West  0 - 360","Approved","1979-01-01 00:00:00.0","Assyro-Babylonian; wife of Shamash.",
"Ba'al","Ganymede",43,24.92,329.97,"Planetographic  +West  0 - 360","Approved","1979-01-01 00:00:00.0","Phoenician; Canaanite god.",
"Babylon Sulci","Ganymede",3100,-22.5,95.5,"Planetographic  +West  0 - 360","Approved","2013-07-29 00:00:00.0","Assyro-Babylonian town in the land known as Akkad.",
"Barnard Regio","Ganymede",3200,-6.8,11.6,"Planetographic  +West  0 - 360","Approved","1979-01-01 00:00:00.0","Edward E.; American astronomer (1857-1923).",
"Bau","Ganymede",77,23.05,48.67,"Planetographic  +West  0 - 360","Approved","1988-01-01 00:00:00.0","Goddess who breathed into men the breath of life; daughter of Anu and patroness of Lagash.",
"Bes","Ganymede",63,-25.48,180.96,"Planetographic  +West  0 - 360","Approved","1985-01-01 00:00:00.0","Egyptian god of marriage.",
"Bigeh Facula","Ganymede",224,29,94.3,"Planetographic  +West  0 - 360","Approved","2000-01-01 00:00:00.0","Island where Hapi, Egyptian Nile god, resided.",
