




Feature_Name,Target,Diameter,Center_Latitude,Center_Longitude,Coordinate_System,Approval_Status,Approval_Date,Origin,
"Achaia Regio","Lutetia",0,28,206,"Planetocentric  +East  0 - 360","Approved","2011-04-05 00:00:00.0","Province of the Roman Empire at the time of Lutetia, located in ancient and present-day Greece.",
"Baetica Regio","Lutetia",0,69,318,"Planetocentric  +East  0 - 360","Approved","2011-04-05 00:00:00.0","Province of the Roman Empire at the time of Lutetia, its location corresponds to present-day Andalusia province, Spain.",
"Bagacum","Lutetia",3.7,46,49,"Planetocentric  +East  0 - 360","Approved","2011-04-05 00:00:00.0","City at the time of Lutetia, present-day Bavay in France.",
"Basilia","Lutetia",3.5,73,184,"Planetocentric  +East  0 - 360","Approved","2011-04-05 00:00:00.0","City at the time of Lutetia, present-day Basel in Switzerland.",
"Bonna","Lutetia",6,62,67,"Planetocentric  +East  0 - 360","Approved","2011-04-05 00:00:00.0","City at the time of Lutetia, present-day Bonn in Germany.",
"Burdigala","Lutetia",10,52,211,"Planetocentric  +East  0 - 360","Approved","2011-04-05 00:00:00.0","City at the time of Lutetia, present-day Bordeaux in France.",
"Danuvius Labes","Lutetia",0,70,333,"Planetocentric  +East  0 - 360","Approved","2011-04-05 00:00:00.0","River at the time of Lutetia, present-day Danube River in Europe.",
"Etruria Regio","Lutetia",0,19,282,"Planetocentric  +East  0 - 360","Approved","2011-04-05 00:00:00.0","Province of the Roman Empire at the time of Lutetia, its location corresponds to present-day central Italy.",
"Florentia","Lutetia",10.9,23,137,"Planetocentric  +East  0 - 360","Approved","2011-04-05 00:00:00.0","City at the time of Lutetia, present-day Florence in Italy.",
"Gallicum Labes","Lutetia",0,77,287,"Planetocentric  +East  0 - 360","Approved","2011-04-05 00:00:00.0","River at the time of Lutetia, present-day Gállego River in Spain.",
"Gaudiaco","Lutetia",6.7,58,5,"Planetocentric  +East  0 - 360","Approved","2011-04-05 00:00:00.0","City at the time of Lutetia, present-day Joué-lès-Tours in France.",
"Genua","Lutetia",1.8,11,117,"Planetocentric  +East  0 - 360","Approved","2011-04-05 00:00:00.0","City at the time of Lutetia, present-day Genoa in Italy.",
"Gerunda","Lutetia",4.7,78,68,"Planetocentric  +East  0 - 360","Approved","2011-04-05 00:00:00.0","City at the time of Lutetia, present-day Girona in Spain.",
"Glana Rupes","Lutetia",9.8,11,124,"Planetocentric  +East  0 - 360","Approved","2011-03-05 00:00:00.0","River at the time of Lutetia, present-day Glonn River in Germany.",
"Goldschmidt Regio","Lutetia",0,-65,360,"Planetocentric  +East  0 - 360","Approved","2011-04-05 00:00:00.0","Hermann; French astronomer of German origin, discoverer of asteroid (21) Lutetia (1802-1866).",
"Hiberus Fossa","Lutetia",12.8,46,33,"Planetocentric  +East  0 - 360","Approved","2011-04-05 00:00:00.0","River at the time of Lutetia, present-day Ebro River in Spain.",
"Lauriacum","Lutetia",1.5,37,0,"Planetocentric  +East  0 - 360","Approved","2011-09-02 00:00:00.0","City at the time of Lutetia, present-day Enns in Austria; defines zero degrees longitude on Lutetia.",
"Lugdunum","Lutetia",17,10,219,"Planetocentric  +East  0 - 360","Approved","2011-04-05 00:00:00.0","City at the time of Lutetia, present-day Lyon in France.",
"Massilia","Lutetia",61,41,96,"Planetocentric  +East  0 - 360","Approved","2011-04-05 00:00:00.0","City at the time of Lutetia, present-day Marseille in France.",
