




Feature_Name,Target,Diameter,Center_Latitude,Center_Longitude,Coordinate_System,Approval_Status,Approval_Date,Origin,
"Antony","Oberon",47,-27.5,65.4,"Planetocentric  +East  0 - 360","Approved","1988-01-01 00:00:00.0","Shakespearean hero in ""Anthony and Cleopatra.""",
"Caesar","Oberon",76,-26.6,61.1,"Planetocentric  +East  0 - 360","Approved","1988-01-01 00:00:00.0","Shakespearean hero in ""Julius Caesar.""",
"Coriolanus","Oberon",120,-11.4,345.2,"Planetocentric  +East  0 - 360","Approved","1988-01-01 00:00:00.0","Shakespearean hero.",
"Falstaff","Oberon",124,-22.1,19,"Planetocentric  +East  0 - 360","Approved","1988-01-01 00:00:00.0","Shakespearean character in ""Merry Wives of Windsor.""",
"Hamlet","Oberon",206,-46.1,44.4,"Planetocentric  +East  0 - 360","Approved","1988-01-01 00:00:00.0","Shakespearean hero.",
"Lear","Oberon",126,-5.4,31.5,"Planetocentric  +East  0 - 360","Approved","1988-01-01 00:00:00.0","Shakespearean hero in ""King Lear.""",
"Macbeth","Oberon",203,-58.4,112.5,"Planetocentric  +East  0 - 360","Approved","1988-01-01 00:00:00.0","Shakespearean hero.",
"Mommur Chasma","Oberon",537,-16.3,323.5,"Planetocentric  +East  0 - 360","Approved","1988-01-01 00:00:00.0","Spirit place, forest home of Oberon in ""Midsummer Night's Dream.""",
"Othello","Oberon",114,-66,42.9,"Planetocentric  +East  0 - 360","Approved","1988-01-01 00:00:00.0","Shakespearean character.",
"Romeo","Oberon",159,-28.7,89.4,"Planetocentric  +East  0 - 360","Approved","1988-01-01 00:00:00.0","Shakespearean character in ""Romeo and Juliet.""",

