




Feature_Name	Target	Diameter	Center_Latitude	Center_Longitude	Coordinate_System	Approval_Status	Approval_Date	Origin	 
Aetos Saxum	Bennu	0.01	3.46	150.36	Planetocentric  +East  0 - 360	Approved	2020-01-31 00:00:00.0	Greek, childhood playmate of the supreme god Zeus who was turned into an eagle by Hera.	
Amihan Saxum	Bennu	0.03	-17.96	256.51	Planetocentric  +East  0 - 360	Approved	2020-01-31 00:00:00.0	Tagalog (Philippines) deity that is depicted as a bird, the first creature to inhabit the universe.	
Benben Saxum	Bennu	0.05	-45.86	127.59	Planetocentric  +East  0 - 360	Approved	2020-01-31 00:00:00.0	Ancient Egyptian primordial mound that arose from the primordial waters Nu. The god Atum settled upon it to create the world after his flight over the waters in the form of the Bennu bird, who is a piece of his soul.	
Gargoyle Saxum	Bennu	0.02	4.59	92.48	Planetocentric  +East  0 - 360	Approved	2020-01-31 00:00:00.0	French, dragon-like monster with wings, bird-like neck, and the ability to breathe fire.	
Huginn Saxum	Bennu	0.05	-29.77	43.25	Planetocentric  +East  0 - 360	Approved	2020-01-31 00:00:00.0	Norse, one of the two ravens (together with Muninn) accompanying the supreme god Odin.	
Muninn Saxum	Bennu	0.03	-29.34	48.68	Planetocentric  +East  0 - 360	Approved	2020-01-31 00:00:00.0	Norse, one of the two ravens (together with Huginn) accompanying the supreme god Odin.	
Ocypete Saxum	Bennu	0.01	25.09	328.25	Planetocentric  +East  0 - 360	Approved	2020-01-31 00:00:00.0	Greek, one of the three named harpies, half-maiden and half-bird personification of storm winds, that would snatch and carry things away from Earth.	
Pouakai Saxum	Bennu	0.01	-40.45	166.75	Planetocentric  +East  0 - 360	Approved	2020-02-11 00:00:00.0	Māori (Polynesia) monstrous bird who kills and eat humans.	
Roc Saxum	Bennu	0.1	-23.46	25.36	Planetocentric  +East  0 - 360	Approved	2020-01-31 00:00:00.0	Enormous bird of prey in Arabic mythology of the Middle East.	
Simurgh Saxum	Bennu	0.04	-25.32	4.05	Planetocentric  +East  0 - 360	Approved	2020-01-31 00:00:00.0	Iranian benevolent bird who possesses all knowledge.	
Strix Saxum	Bennu	0.01	13.4	88.26	Planetocentric  +East  0 - 360	Approved	2020-01-31 00:00:00.0	Roman vampiric bird of ill omen.	
Tlanuwa Regio	Bennu	0.3	-37.86	261.7	Planetocentric  +East  0 - 360	Approved	2020-01-31 00:00:00.0	Cherokee (Southeast USA), giant birds who scattered the Earth with pieces of serpent which turned into standing pillars of rocks.	

