




Feature_Name	Target	Diameter	Center_Latitude	Center_Longitude	Coordinate_System	Approval_Status	Approval_Date	Origin	 
Aix	Gaspra	0.6	47.9	160.3	Planetographic  +West  0 - 360	Approved	1994-01-01 00:00:00.0	Spa in France.	
Alupka	Gaspra	0.3	65	65	Planetographic  +West  0 - 360	Approved	1994-01-01 00:00:00.0	Spa in Crimea, Ukraine.	
Baden-Baden	Gaspra	0.3	46	55	Planetographic  +West  0 - 360	Approved	1994-01-01 00:00:00.0	Spa in Germany.	
Badgastein	Gaspra	0.4	25	3	Planetographic  +West  0 - 360	Approved	1994-01-01 00:00:00.0	Spa in Austria.	
Bagnoles	Gaspra	0.4	55	122	Planetographic  +West  0 - 360	Approved	1994-01-01 00:00:00.0	Spa in France.	
Bath	Gaspra	0.9	13.4	9.7	Planetographic  +West  0 - 360	Approved	1994-01-01 00:00:00.0	Spa in England.	
Beppu	Gaspra	0.6	3.9	58.4	Planetographic  +West  0 - 360	Approved	1994-01-01 00:00:00.0	Spa on Kyushu, Japan.	
Brookton	Gaspra	0.3	27.7	103.3	Planetographic  +West  0 - 360	Approved	1994-01-01 00:00:00.0	Spa in New York, USA.	
Calistoga	Gaspra	1.2	30	2	Planetographic  +West  0 - 360	Approved	1994-01-01 00:00:00.0	Resort in California, USA.	
Carlsbad	Gaspra	0.5	29.7	88.8	Planetographic  +West  0 - 360	Approved	1994-01-01 00:00:00.0	Spa in Czech Republic.	
Charax	Gaspra	0.9	8.6	0	Planetographic  +West  0 - 360	Approved	1994-01-01 00:00:00.0	Roman fortress in Gaspra, Crimea, Ukraine. 	
Dunne Regio	Gaspra	0	15	15	Planetographic  +West  0 - 360	Approved	1994-01-01 00:00:00.0	James; Galileo Project planner.	
Helwan	Gaspra	0.4	22.4	118.9	Planetographic  +West  0 - 360	Approved	1994-01-01 00:00:00.0	Spa in Egypt.	
Ixtapan	Gaspra	0.7	11.9	86.9	Planetographic  +West  0 - 360	Approved	1994-01-01 00:00:00.0	Spa in Mexico.	
Katsiveli	Gaspra	0.3	55	65	Planetographic  +West  0 - 360	Approved	1994-01-01 00:00:00.0	Spa in Crimea, Ukraine.	
Krynica	Gaspra	0.4	49	35	Planetographic  +West  0 - 360	Approved	1994-01-01 00:00:00.0	Health resort in Poland.	
Lisdoonvarna	Gaspra	0.4	16.5	358.1	Planetographic  +West  0 - 360	Approved	1994-01-01 00:00:00.0	Spa in Ireland.	
Loutraki	Gaspra	0.4	42	140	Planetographic  +West  0 - 360	Approved	1994-01-01 00:00:00.0	Spa in Greece.	
Mandal	Gaspra	0.1	23.5	46.5	Planetographic  +West  0 - 360	Approved	1994-01-01 00:00:00.0	Spa in Norway.	
Manikaran	Gaspra	0.5	62	155	Planetographic  +West  0 - 360	Approved	1994-01-01 00:00:00.0	Spa in India.	
Marienbad	Gaspra	0.6	35.4	81.8	Planetographic  +West  0 - 360	Approved	1994-01-01 00:00:00.0	Spa in Czech Republic.	
Miskhor	Gaspra	0.5	15	65.9	Planetographic  +West  0 - 360	Approved	1994-01-01 00:00:00.0	Spa in Crimea, Ukraine.	
Moree	Gaspra	0.7	15.1	164.4	Planetographic  +West  0 - 360	Approved	1994-01-01 00:00:00.0	Spa in Australia.	
Neujmin Regio	Gaspra	0	2	80	Planetographic  +West  0 - 360	Approved	1994-01-01 00:00:00.0	Grigorij N.; Russian astronomer; discoverer of Gaspra (1885-1946).	
Ramlösa	Gaspra	0.7	15	4.9	Planetographic  +West  0 - 360	Approved	1994-01-01 00:00:00.0	Spa in Sweden.	
Rio Hondo	Gaspra	0.6	31.7	20.7	Planetographic  +West  0 - 360	Approved	1994-01-01 00:00:00.0	Spa in Argentina.	
Rotorua	Gaspra	0.5	18.8	30.7	Planetographic  +West  0 - 360	Approved	1994-01-01 00:00:00.0	Spa in New Zealand.	
Saratoga	Gaspra	2.8	50	270	Planetographic  +West  0 - 360	Approved	1994-01-01 00:00:00.0	Spa in New York, USA.	
Spa	Gaspra	1.6	51.5	152	Planetographic  +West  0 - 360	Approved	1994-01-01 00:00:00.0	Health resort in Belgium.	
Tang-Shan	Gaspra	2.1	59	256	Planetographic  +West  0 - 360	Approved	1994-01-01 00:00:00.0	Spa in China.	
Yalova	Gaspra	0.4	29	10	Planetographic  +West  0 - 360	Approved	1994-01-01 00:00:00.0	Health resort in Turkey.	
Yalta	Gaspra	1.4	57.6	261.3	Planetographic  +West  0 - 360	Approved	1994-01-01 00:00:00.0	Spa in Crimea, Ukraine.	
Yeates Regio	Gaspra	0	65	75	Planetographic  +West  0 - 360	Approved	1994-01-01 00:00:00.0	Clayne; Galileo Project manager.	
Zohar	Gaspra	0.4	23	118	Planetographic  +West  0 - 360	Approved	1994-01-01 00:00:00.0	Spa in Israel.	

