




Feature_Name	Target	Diameter	Center_Latitude	Center_Longitude	Coordinate_System	Approval_Status	Approval_Date	Origin	 
Aaru	Titan	0	10	340	Planetographic  +West  0 - 360	Approved	2006-01-01 00:00:00.0	Egyptian abode of the blessed dead.	
Abaya Lacus	Titan	65	73.17	45.55	Planetographic  +West  0 - 360	Approved	2007-09-27 00:00:00.0	Lake in Ethiopia.	
Adiri	Titan	0	-10	210	Planetographic  +West  0 - 360	Approved	2006-01-01 00:00:00.0	Melanesian afterworld where life is easier than on Earth.	
Afekan	Titan	115	25.8	200.3	Planetographic  +West  0 - 360	Approved	2008-08-04 00:00:00.0	New Guinea goddess of creation and knowledge who teaches people how to live correctly.	
Akmena Lacus	Titan	35.6	85.1	55.6	Planetographic  +West  0 - 360	Approved	2017-08-07 00:00:00.0	Lake in Lithuania.	
Albano Lacus	Titan	6.2	65.9	236.4	Planetographic  +West  0 - 360	Approved	2010-09-16 00:00:00.0	Lake in Italy.	
Anbus Labyrinthus	Titan	120	39.2	215	Planetographic  +West  0 - 360	Approved	2017-03-01 00:00:00.0	Planet from the Dune series; IV Anbus, home of Tibana, an apologist for Socratic Christianity.	
Angmar Montes	Titan	230	-10	221.9	Planetographic  +West  0 - 360	Approved	2011-12-05 00:00:00.0	Name of a mountain range from Middle-earth, the fictional setting in fantasy novels by J.R.R. Tolkien.	
Annecy Lacus	Titan	20	76.8	128.9	Planetographic  +West  0 - 360	Approved	2017-06-26 00:00:00.0	Lake in France.	
Antilia Faculae	Titan	260	-11	187	Planetographic  +West  0 - 360	Approved	2006-01-01 00:00:00.0	Archipelago corresponding to the mythical island of Antilia, once thought to lie midway between Europe and the Americas.	
Apanohuaya Flumen	Titan	64	84.29	297.24	Planetographic  +West  0 - 360	Approved	2020-03-12 00:00:00.0	Mythological river in the Aztec Underworld.	
Ara Fluctus	Titan	70	39.8	118.4	Planetographic  +West  0 - 360	Approved	2007-03-02 00:00:00.0	Armenian god famous for his beauty, also known as a resurrected god who dies and is reborn periodically.	
Arala Lacus	Titan	12.3	78.1	124.9	Planetographic  +West  0 - 360	Approved	2017-06-26 00:00:00.0	Lake in Mali.	
Arnar Sinus	Titan	101	72.6	322	Planetographic  +West  0 - 360	Approved	2015-01-19 00:00:00.0	Fjord in Iceland.	
Arrakis Planitia	Titan	337.4	-78.4	117	Planetographic  +West  0 - 360	Approved	2010-04-05 00:00:00.0	Planet from the Dune series; home of the Fremen, a group of fictional people whose culture revolves around preservation and conservation of water, which is a rare commodity on the planet. 	
Arwen Colles	Titan	64	-7.5	260	Planetographic  +West  0 - 360	Approved	2012-12-19 00:00:00.0	Daughter of Elrond; character from Middle-earth, the fictional setting in fantasy novels by J.R.R. Tolkien.	
Atacama Lacuna	Titan	35.9	68.2	227.6	Planetographic  +West  0 - 360	Approved	2010-12-21 00:00:00.0	Intermittent lake (salar) in Chile.	
Atitlán Lacus	Titan	13.7	69.3	238.8	Planetographic  +West  0 - 360	Approved	2010-09-16 00:00:00.0	Lake in Guatemala.	
Aura Undae	Titan	490	13.79	226.86	Planetographic  +West  0 - 360	Approved	2015-07-20 00:00:00.0	Greek Titanis goddess of the morning wind.	
Avacha Sinus	Titan	51	82.87	335.43	Planetographic  +West  0 - 360	Approved	2020-03-12 00:00:00.0	Bay (gulf) in Russia.	
Aztlan	Titan	0	-10	20	Planetographic  +West  0 - 360	Approved	2006-01-01 00:00:00.0	Mythical land from which the Aztecs believed they migrated.	
Bacab Virgae	Titan	485	-19	151	Planetographic  +West  0 - 360	Approved	2006-01-01 00:00:00.0	Mayan rain god.	
Baffin Sinus	Titan	110	80.35	344.62	Planetographic  +West  0 - 360	Approved	2018-01-09 00:00:00.0	Bay in Canada.	
Balaton Lacus	Titan	35.6	82.9	87.5	Planetographic  +West  0 - 360	Approved	2017-08-07 00:00:00.0	Lake in Hungary.	
Bayta Fretum	Titan	165	73	311.2	Planetographic  +West  0 - 360	Approved	2015-01-19 00:00:00.0	Bayta Darell, fictional character in Isaac Asimov's Foundation Series, wife of the Trader Tran Darell and grandmother of famous author Arcadia “Arcady” Darell.	
Bazaruto Facula	Titan	215	11.6	16.1	Planetographic  +West  0 - 360	Approved	2006-01-01 00:00:00.0	Mozambique island.	
Beag	Titan	27	-34.74	169.55	Planetographic  +West  0 - 360	Approved	2015-04-15 00:00:00.0	Celtic/Irish goddess of water, education, and knowledge. Anyone who drinks the water from her well will become wise.	
Belet	Titan	0	-5	255	Planetographic  +West  0 - 360	Approved	2006-01-01 00:00:00.0	Malay afterworld reached by a flower-lined bridge.	
Bermoothes Insula	Titan	124	67.1	317.1	Planetographic  +West  0 - 360	Approved	2015-01-19 00:00:00.0	An enchanted island in Shakespeare’s Tempest.	
Bilbo Colles	Titan	164	-4.23	38.56	Planetographic  +West  0 - 360	Approved	2012-12-19 00:00:00.0	Hobbit, the main character in ‘The Hobbit’ novel; he traveled across Middle-earth, the fictional setting in fantasy novels by J.R.R. Tolkien.	
Bimini Insula	Titan	39	73.3	305.4	Planetographic  +West  0 - 360	Approved	2015-01-19 00:00:00.0	Boicua; Island in Arawak (Bahamas) legend said to contain the fountain of youth.	
Bolsena Lacus	Titan	101	75.75	10.28	Planetographic  +West  0 - 360	Approved	2007-09-27 00:00:00.0	Lake in Italy.	
Boni Sinus	Titan	54	78.69	345.38	Planetographic  +West  0 - 360	Approved	2018-01-09 00:00:00.0	Bone; Gulf in Indonesia.	
Boreas Undae	Titan	260	-6	215	Planetographic  +West  0 - 360	Approved	2011-12-05 00:00:00.0	Greek god of the north wind.	
Bralgu Insulae	Titan	55	76.2	251.5	Planetographic  +West  0 - 360	Approved	2015-01-19 00:00:00.0	Baralku; In Yolngu culture (Arnhem Land, Australia), the island of the dead and the place where the Djanggawul, the three creator siblings, originated.	
Brienz Lacus	Titan	50.6	85.3	43.8	Planetographic  +West  0 - 360	Approved	2017-08-07 00:00:00.0	Lake in Switzerland	
Buada Lacus	Titan	10.3	76.4	129.6	Planetographic  +West  0 - 360	Approved	2017-06-26 00:00:00.0	Lake in Nauru.	
Buyan Insula	Titan	48	77.3	245.1	Planetographic  +West  0 - 360	Approved	2015-01-19 00:00:00.0	A rocky island in Russian folk tales located on the south shore of the Baltic Sea.	
Buzzell Planitia	Titan	870	-66.3	262.7	Planetographic  +West  0 - 360	Approved	2016-03-18 00:00:00.0	Planet from the Dune series; a cold planet, known for its lustrous Soostones, used as a “punishment planet” by the Bene Gesserit.	
Caladan Planitia	Titan	2800	31	226	Planetographic  +West  0 - 360	Approved	2014-10-08 00:00:00.0	Planet from the Dune series; the original home of the House Atriedes, a fictional noble family.	
Cardiel Lacus	Titan	22	70.2	206.5	Planetographic  +West  0 - 360	Approved	2011-04-07 00:00:00.0	Lake in Argentina.	
Cayuga Lacus	Titan	22.7	69.8	230	Planetographic  +West  0 - 360	Approved	2010-09-16 00:00:00.0	Lake in New York, USA.	
Celadon Flumina	Titan	160	-73.7	28.8	Planetographic  +West  0 - 360	Approved	2014-10-08 00:00:00.0	River in The Iliad.	
Chilwa Lacus	Titan	19.8	75	131.3	Planetographic  +West  0 - 360	Approved	2017-06-06 00:00:00.0	Lake in Malawi and Mozambique.	
Ching-tu	Titan	0	-30	205	Planetographic  +West  0 - 360	Approved	2006-01-01 00:00:00.0	Chinese Buddhist paradise where those who attain salvation will live in unalloyed happiness.	
