




Feature_Name	Target	Diameter	Center_Latitude	Center_Longitude	Coordinate_System	Approval_Status	Approval_Date	Origin	 
Abatos Planum	Triton	0	-21.5	58	Planetographic  +East  0 - 360	Approved	1991-01-01 00:00:00.0	Egyptian sacred island in Nile, "paradise."	
Akupara Maculae	Triton	0	-27.5	63	Planetographic  +East  0 - 360	Approved	1991-01-01 00:00:00.0	Tortoise upholding the world (India).	
Amarum	Triton	0	26	24.5	Planetographic  +East  0 - 360	Approved	1991-01-01 00:00:00.0	Quecha (Ecuador) water boa.	
Andvari	Triton	0	20.5	34	Planetographic  +East  0 - 360	Approved	1991-01-01 00:00:00.0	Norse fish shaped dwarf.	
Apep Cavus	Triton	0	20	301.5	Planetographic  +East  0 - 360	Approved	1991-01-01 00:00:00.0	Egyptian dragon of darkness.	
Awib Dorsa	Triton	0	-7	80	Planetographic  +East  0 - 360	Approved	1991-01-01 00:00:00.0	Nama Bushman word for rain.	
Bheki Cavus	Triton	0	16	308	Planetographic  +East  0 - 360	Approved	1991-01-01 00:00:00.0	Frog symbolizing the sun on the horizon (India).	
Bia Sulci	Triton	0	-38	3	Planetographic  +East  0 - 360	Approved	1991-01-01 00:00:00.0	Yoruba; river named for obedient son of god.	
Boynne Sulci	Triton	0	-13	350	Planetographic  +East  0 - 360	Approved	1991-01-01 00:00:00.0	Celtic mythological river.	
Bubembe Regio	Triton	0	18	335	Planetographic  +East  0 - 360	Approved	1991-01-01 00:00:00.0	Island location of temple of Mukasa (Uganda).	
Cay	Triton	0	-12	44	Planetographic  +East  0 - 360	Approved	1991-01-01 00:00:00.0	Mayan deity.	
Cipango Planum	Triton	0	11.5	34	Planetographic  +East  0 - 360	Approved	1991-01-01 00:00:00.0	Legendary island described by Marco Polo.	
Dagon Cavus	Triton	0	29	345	Planetographic  +East  0 - 360	Approved	1991-01-01 00:00:00.0	Babylonian fertility god represented as a fish.	
Dilolo Patera	Triton	0	26	24.5	Planetographic  +East  0 - 360	Approved	1991-01-01 00:00:00.0	Angolan sacred lake.	
Doro Macula	Triton	0	-27.5	31.7	Planetographic  +East  0 - 360	Approved	1991-01-01 00:00:00.0	Nanay mistress of fishing, Sea of Okhotsk.	
