




Feature_Name	Target	Diameter	Center_Latitude	Center_Longitude	Coordinate_System	Approval_Status	Approval_Date	Origin	 
Alberich	Umbriel	52	-33.6	42.2	Planetocentric  +East  0 - 360	Approved	1988-01-01 00:00:00.0	Dwarf who guarded Niebelung gold, also had a mantle of invisibility.	
Fin	Umbriel	43	-37.4	44.3	Planetocentric  +East  0 - 360	Approved	1988-01-01 00:00:00.0	Troll who helped build a church in Kallundburg, Zealand.	
Gob	Umbriel	88	-12.7	27.8	Planetocentric  +East  0 - 360	Approved	1988-01-01 00:00:00.0	King of gnomes.	
Kanaloa	Umbriel	86	-10.8	345.7	Planetocentric  +East  0 - 360	Approved	1988-01-01 00:00:00.0	Polynesian chief evil spirit.	
Malingee	Umbriel	164	-22.9	13.9	Planetocentric  +East  0 - 360	Approved	1988-01-01 00:00:00.0	Aboriginal spirit who travels at night.	
Minepa	Umbriel	58	-42.7	8.2	Planetocentric  +East  0 - 360	Approved	1988-01-01 00:00:00.0	Macouas and Banayis evil spirit.	
Peri	Umbriel	61	-9.2	4.3	Planetocentric  +East  0 - 360	Approved	1988-01-01 00:00:00.0	Persian evil spirit who disguised malevolence by charm; disturbed natural elements and heavenly bodies.	
Setibos	Umbriel	50	-30.8	346.3	Planetocentric  +East  0 - 360	Approved	1988-01-01 00:00:00.0	Chief devil.	
Skynd	Umbriel	72	-1.8	331.7	Planetocentric  +East  0 - 360	Approved	1988-01-01 00:00:00.0	Troll who stole three wives of a man living in Englerup.	
Vuver	Umbriel	98	-4.7	311.6	Planetocentric  +East  0 - 360	Approved	1988-01-01 00:00:00.0	Volga Finn evil spirit.	
Wokolo	Umbriel	208	-30	1.8	Planetocentric  +East  0 - 360	Approved	1988-01-01 00:00:00.0	Baramba (West Africa) devil spirit.	
Wunda	Umbriel	131	-7.9	273.6	Planetocentric  +East  0 - 360	Approved	1988-01-01 00:00:00.0	Australian dark spirit.	
Zlyden	Umbriel	44	-23.3	326.2	Planetocentric  +East  0 - 360	Approved	1988-01-01 00:00:00.0	Slavic evil spirit.	

